Ano,Usuários,Novos Usuários,Sessões,Todas as Conversões,Valor Investido
2010,0,3743,4477,0,3631.70
2011,0,7981,9986,0,17301.06
2012,0,9504,12426,0,16741.96
2013,0,14331,21954,0,31315.00
2014,0,16610,22704,1,50539.74
2015,0,39744,52483,110,96087.12
2016,0,23933,30883,189,117998.95
2017,24853,24725,33876,509,129432.85
2018,24667,24580,30790,954.53,150559.48
2019,20208,20043,25734,1385.66,153380.88
2020,12635,12533,16496,1290.81,80340.81
2021,25276,25339,31825,2108,138901.89
2022,34353,33630,43209,12722,150941.56
2023,8042,7912,8908,3397,38506.33
